numpurch,age,totdol,female,adB,res,validation
11.0,34,219.66,1,0,0,0
45.0,40,182.72,0,0,0,1
73.0,40,428.47,0,0,0,0
6.0,37,340.85,1,0,0,1
41.0,23,174.08,0,0,0,0
69.0,35,317.01,0,1,0,1
11.0,30,346.54,1,1,0,0
14.0,23,146.39,0,0,0,1
8.0,30,220.9,0,1,0,0
41.0,35,617.36,1,0,0,1
98.0,19,314.84,1,0,0,0
6.0,35,267.8,1,1,0,1
9.0,37,272.6,0,0,0,0
59.0,26,115.35,1,1,0,1
101.0,32,163.84,0,1,1,0
45.0,33,420.04,1,0,0,1
11.0,30,208.03,0,0,0,0
9.0,22,125.06,0,0,0,1
54.0,26,501.87,0,0,0,0
62.0,24,256.68,0,0,0,1
88.0,34,299.47,0,0,0,0
6.0,28,437.49,0,1,0,1
14.0,26,572.56,1,1,0,0
103.0,30,381.9,1,0,0,1
94.0,27,232.6,0,1,1,0
41.0,29,121.71,1,1,0,1
9.0,29,134.96,0,0,0,0
8.0,29,166.37,0,0,0,1
8.0,30,203.4,1,0,0,0
9.0,26,113.68,0,1,0,1
7.0,27,343.52,0,1,0,0
48.0,30,480.34,0,0,0,1
60.0,33,225.07,0,1,0,0
52.0,44,130.76,1,1,0,1
6.0,36,159.55,1,1,0,0
13.0,36,259.48,1,1,0,1
9.0,32,241.99,1,1,0,0
53.0,36,343.07,0,1,1,1
58.0,32,270.48,1,1,0,0
98.0,27,227.75,0,0,0,1
46.0,32,178.31,1,0,0,0
52.0,35,316.03,0,1,0,1
73.0,29,419.77,0,1,0,0
98.0,32,265.63,1,1,1,1
91.0,28,269.32,0,1,0,0
53.0,38,154.88,0,0,0,1
110.0,32,127.97,1,1,1,0
101.0,27,126.23,0,1,0,1
97.0,26,356.02,0,0,1,0
87.0,28,195.58,1,0,0,1
50.0,32,495.19,1,0,0,0
59.0,28,137.93,0,0,0,1
93.0,29,239.93,0,1,1,0
104.0,29,252.08,0,0,0,1
84.0,31,824.69,0,1,0,0
51.0,31,340.55,0,0,0,1
88.0,28,122.77,0,1,0,0
40.0,29,157.8,1,0,0,1
9.0,24,257.03,0,0,0,0
10.0,38,100.91,1,1,0,1
50.0,32,161.46,1,0,0,0
40.0,32,516.32,0,1,0,1
10.0,28,203.83,1,0,0,0
11.0,27,150.05,0,0,0,1
49.0,30,308.92,1,0,0,0
13.0,35,172.14,1,0,0,1
82.0,28,258.99,1,0,0,0
56.0,27,158.29,0,1,0,1
43.0,23,277.46,1,0,0,0
86.0,32,117.9,0,0,0,1
92.0,36,346.16,0,1,0,0
91.0,27,195.81,1,0,0,1
57.0,32,498.68,0,0,0,0
88.0,29,332.68,1,1,0,1
10.0,25,221.95,0,0,0,0
9.0,25,221.46,1,1,0,1
7.0,36,249.73,0,1,0,0
89.0,29,442.64,1,1,0,1
9.0,25,198.32,0,1,0,0
46.0,32,103.4,1,1,0,1
9.0,39,305.31,0,0,0,0
52.0,31,316.78,1,1,0,1
54.0,28,106.95,0,1,0,0
99.0,35,230.2,0,0,0,1
83.0,29,298.65,0,0,0,0
89.0,34,454.68,0,1,0,1
11.0,23,173.18,0,1,0,0
105.0,25,200.82,0,0,0,1
57.0,31,102.23,1,0,0,0
13.0,29,356.81,0,0,0,1
15.0,40,179.91,1,1,0,0
6.0,36,132.46,0,1,0,1
54.0,28,304.57,0,0,0,0
13.0,34,154.88,1,1,0,1
5.0,26,235.62,1,0,0,0
87.0,26,143.77,0,1,0,1
48.0,32,147.68,0,1,0,0
77.0,22,165.32,0,1,0,1
93.0,28,109.94,0,0,0,0
55.0,30,181.72,0,0,0,1
57.0,33,324.37,0,1,0,0
86.0,32,683.88,0,0,0,1
72.0,24,173.39,1,0,0,0
12.0,21,220.01,0,1,0,1
54.0,33,173.37,0,1,0,0
50.0,27,481.33,0,0,0,1
14.0,30,103.26,0,1,0,0
45.0,38,244.76,0,0,0,1
61.0,32,175.95,1,1,0,0
85.0,33,193.27,1,1,0,1
7.0,25,321.26,0,1,0,0
82.0,31,124.71,1,1,0,1
9.0,26,295.59,0,1,0,0
82.0,27,255.89,0,0,0,1
53.0,35,448.36,1,1,0,0
92.0,30,566.87,1,1,0,1
96.0,36,255.02,0,1,1,0
64.0,33,601.94,0,0,0,1
59.0,29,254.65,0,0,0,0
13.0,34,189.17,0,0,0,1
9.0,32,200.29,1,0,0,0
8.0,30,219.86,0,0,0,1
87.0,34,118.03,1,0,0,0
59.0,24,314.74,1,0,0,1
76.0,26,257.1,0,1,0,0
50.0,31,248.68,1,1,0,1
52.0,32,327.97,1,0,0,0
56.0,32,362.43,1,0,0,1
93.0,26,143.66,0,0,0,0
11.0,38,106.88,0,1,0,1
7.0,24,158.38,0,0,0,0
92.0,36,277.24,1,0,1,1
15.0,24,125.5,1,1,0,0
41.0,38,223.81,0,1,0,1
14.0,32,401.82,1,1,0,0
80.0,27,459.94,0,1,0,1
90.0,33,157.48,1,0,0,0
76.0,34,326.58,0,0,0,1
10.0,25,133.42,0,1,0,0
79.0,34,422.75,0,0,0,1
93.0,29,382.36,0,0,0,0
8.0,30,570.7,0,0,0,1
8.0,33,150.08,0,0,0,0
124.0,25,388.81,1,0,1,1
41.0,28,166.22,0,0,0,0
7.0,35,368.39,0,1,0,1
10.0,28,311.58,0,1,0,0
63.0,32,155.71,0,1,0,1
8.0,37,140.17,1,1,0,0
53.0,25,157.84,1,0,0,1
93.0,35,220.31,0,0,0,0
45.0,25,192.39,1,1,0,1
11.0,29,178.11,1,1,0,0
18.0,34,559.27,1,0,0,1
97.0,36,159.02,1,0,1,0
9.0,31,182.46,1,1,0,1
100.0,29,135.71,1,0,1,0
51.0,26,174.3,0,1,0,1
110.0,37,151.1,0,0,0,0
75.0,33,105.5,1,1,0,1
81.0,27,131.47,0,1,0,0
88.0,35,340.61,0,1,1,1
85.0,33,130.06,1,1,1,0
5.0,29,374.33,0,0,0,1
13.0,26,172.42,1,1,0,0
47.0,35,320.41,0,1,0,1
12.0,32,165.99,0,1,0,0
84.0,27,380.63,0,1,1,1
73.0,33,324.94,0,1,0,0
13.0,29,319.07,0,0,0,1
75.0,24,283.77,1,1,0,0
45.0,29,341.65,1,0,0,1
5.0,26,225.99,0,1,0,0
14.0,30,153.23,1,1,0,1
43.0,28,367.28,0,0,0,0
11.0,25,132.21,1,1,0,1
81.0,26,159.76,0,1,0,0
46.0,37,162.46,0,0,0,1
83.0,21,174.57,0,0,0,0
6.0,28,241.95,1,0,0,1
87.0,26,674.68,0,1,0,0
14.0,30,118.14,0,0,0,1
63.0,28,402.04,0,1,0,0
13.0,35,141.6,0,1,0,1
7.0,28,117.94,0,0,0,0
12.0,27,218.06,0,1,0,1
43.0,31,298.14,0,1,0,0
52.0,39,335.19,1,0,0,1
98.0,31,184.04,0,1,1,0
14.0,35,361.9,0,1,0,1
75.0,31,395.9,0,0,0,0
51.0,28,387.5,0,1,0,1
53.0,28,244.38,1,0,0,0
12.0,31,199.84,0,1,0,1
84.0,25,500.94,1,0,0,0
49.0,24,193.9,0,0,0,1
93.0,35,346.3,1,0,0,0
51.0,33,239.39,0,0,0,1
80.0,24,223.08,1,1,0,0
51.0,26,441.0,0,0,0,1
54.0,35,358.83,0,0,0,0
12.0,29,188.03,1,0,0,1
53.0,30,239.17,1,1,0,0
88.0,31,630.6,0,1,0,1
94.0,37,126.69,0,1,0,0
80.0,30,100.31,0,1,0,1
66.0,27,111.18,0,0,0,0
8.0,36,226.82,1,1,0,1
50.0,27,320.28,1,1,0,0
57.0,20,310.04,0,1,0,1
87.0,28,326.17,1,0,0,0
45.0,25,110.89,0,1,0,1
90.0,28,117.72,1,1,0,0
84.0,22,528.84,0,0,0,1
107.0,26,281.7,0,1,1,0
53.0,30,441.89,1,1,0,1
51.0,30,202.04,0,0,0,0
6.0,29,109.61,1,0,0,1
88.0,33,103.68,1,1,0,0
52.0,35,240.12,1,1,0,1
98.0,30,354.37,0,1,0,0
47.0,29,113.38,1,0,0,1
10.0,32,162.97,1,0,0,0
40.0,30,317.5,0,1,0,1
14.0,26,252.17,0,0,0,0
78.0,37,206.29,1,1,0,1
10.0,27,290.78,0,0,0,0
3.0,33,193.67,0,1,0,1
10.0,24,224.99,0,1,0,0
91.0,26,270.5,1,0,0,1
50.0,29,466.42,0,1,0,0
61.0,30,168.52,1,0,0,1
8.0,27,458.02,0,1,0,0
95.0,35,310.69,0,0,1,1
11.0,35,184.52,0,1,0,0
41.0,32,207.82,0,0,0,1
46.0,24,427.25,0,1,0,0
44.0,32,224.55,1,0,0,1
86.0,32,101.77,0,0,0,0
90.0,33,202.69,0,1,0,1
10.0,31,525.45,1,0,0,0
92.0,39,167.16,0,0,0,1
49.0,30,270.32,0,0,0,0
77.0,36,199.39,0,0,0,1
39.0,36,555.2,0,0,0,0
51.0,41,526.72,0,1,0,1
12.0,31,267.55,0,1,0,0
117.0,26,174.23,1,0,0,1
48.0,32,402.83,1,1,0,0
75.0,28,356.47,0,0,0,1
41.0,30,155.17,1,0,0,0
96.0,33,124.85,0,0,1,1
59.0,30,266.03,0,0,0,0
88.0,38,134.38,0,0,0,1
110.0,33,125.52,0,0,0,0
52.0,28,152.07,1,1,0,1
7.0,23,233.96,1,1,0,0
9.0,34,354.64,0,0,0,1
41.0,28,209.27,1,1,0,0
11.0,27,459.04,1,0,0,1
13.0,24,160.27,0,0,0,0
80.0,29,117.91,0,1,0,1
8.0,30,184.48,0,1,0,0
102.0,27,218.72,1,1,0,1
8.0,22,451.15,1,1,0,0
13.0,33,132.21,1,0,1,1
11.0,41,341.87,1,0,0,0
47.0,30,140.16,1,0,0,1
52.0,24,138.11,0,1,0,0
53.0,34,269.17,1,0,0,1
45.0,37,425.31,0,1,0,0
10.0,35,195.03,1,1,0,1
87.0,37,259.11,1,0,1,0
60.0,29,277.94,0,1,0,1
10.0,25,458.45,0,1,0,0
8.0,31,222.94,0,1,0,1
92.0,28,139.33,1,0,1,0
87.0,31,142.07,0,0,0,1
56.0,31,297.0,1,1,0,0
59.0,35,175.55,1,0,0,1
11.0,17,143.44,0,1,0,0
86.0,35,155.41,1,0,0,1
83.0,30,437.47,1,0,0,0
90.0,33,412.38,1,1,0,1
94.0,30,132.43,0,1,0,0
14.0,28,496.47,0,1,0,1
45.0,37,396.5,1,1,0,0
50.0,22,169.38,0,1,0,1
41.0,37,169.38,0,1,0,0
91.0,26,365.09,1,1,1,1
50.0,35,128.28,0,0,0,0
90.0,25,177.92,0,1,0,1
87.0,35,241.7,1,0,0,0
49.0,39,454.33,0,1,0,1
86.0,33,154.09,0,1,0,0
11.0,42,382.89,1,0,0,1
80.0,22,197.37,0,1,0,0
89.0,40,106.47,0,0,0,1
15.0,33,302.75,0,0,0,0
7.0,25,113.07,0,1,0,1
12.0,36,376.95,0,0,0,0
106.0,37,225.54,1,1,0,1
41.0,34,258.25,0,1,0,0
16.0,42,346.4,0,0,0,1
47.0,36,284.62,1,1,0,0
50.0,34,177.61,0,1,0,1
65.0,42,116.93,1,0,0,0
48.0,28,243.58,1,0,0,1
84.0,27,174.97,0,1,0,0
45.0,27,276.38,0,1,0,1
39.0,29,310.09,1,1,0,0
14.0,32,299.75,0,0,0,1
49.0,33,302.31,0,1,0,0
10.0,24,461.2,0,0,0,1
14.0,32,236.93,0,1,0,0
46.0,32,131.92,0,0,0,1
83.0,31,153.05,0,1,0,0
10.0,28,133.25,0,0,0,1
77.0,24,160.1,1,0,0,0
88.0,27,199.71,0,0,0,1
93.0,32,700.88,0,0,1,0
6.0,27,154.53,1,1,0,1
100.0,34,264.41,1,1,0,0
60.0,31,122.06,0,0,0,1
85.0,29,376.05,1,1,0,0
13.0,37,408.2,1,1,0,1
44.0,31,516.09,0,0,0,0
9.0,25,130.1,0,0,0,1
7.0,24,120.86,1,0,0,0
107.0,35,114.07,1,0,1,1
12.0,31,333.61,0,0,0,0
54.0,27,106.73,1,1,0,1
13.0,28,148.68,0,1,0,0
46.0,25,342.9,1,0,0,1
76.0,32,180.58,1,0,0,0
108.0,30,190.38,1,0,1,1
59.0,34,417.48,1,0,0,0
8.0,37,117.89,0,1,0,1
5.0,21,233.76,0,1,0,0
7.0,41,179.55,0,1,0,1
49.0,26,558.07,0,1,0,0
77.0,25,105.31,0,0,0,1
47.0,25,216.19,0,1,0,0
100.0,25,251.12,0,0,0,1
94.0,26,139.97,1,0,1,0
58.0,29,137.12,0,1,0,1
11.0,30,383.18,1,1,0,0
11.0,33,180.76,1,0,0,1
97.0,31,179.52,0,0,0,0
44.0,30,326.67,1,1,0,1
86.0,26,250.01,1,0,0,0
74.0,23,358.14,1,0,0,1
88.0,25,124.81,0,1,0,0
78.0,33,186.13,0,1,0,1
53.0,33,215.57,1,0,0,0
102.0,32,196.5,1,1,0,1
89.0,25,283.13,0,0,1,0
8.0,34,158.16,0,0,0,1
53.0,18,284.25,1,0,0,0
46.0,30,287.77,1,1,0,1
56.0,29,133.03,0,1,0,0
18.0,24,331.02,0,0,0,1
40.0,28,258.87,1,0,0,0
8.0,25,197.23,1,0,0,1
94.0,27,381.51,0,1,0,0
103.0,25,179.51,1,1,0,1
99.0,34,286.4,0,1,0,0
40.0,27,287.87,0,0,0,1
49.0,29,256.53,1,0,0,0
11.0,26,224.96,1,0,0,1
57.0,25,124.77,0,1,0,0
97.0,30,204.92,1,0,0,1
10.0,29,182.87,0,1,0,0
40.0,28,205.98,0,0,0,1
10.0,31,137.57,0,0,0,0
11.0,29,164.3,1,0,0,1
89.0,32,276.71,0,1,0,0
108.0,30,328.5,1,1,1,1
45.0,27,185.7,0,1,0,0
96.0,36,302.77,1,1,0,1
81.0,27,112.3,0,0,0,0
15.0,22,297.43,1,1,0,1
47.0,29,200.28,0,1,0,0
88.0,36,127.06,1,1,0,1
11.0,30,301.66,0,1,0,0
15.0,28,171.05,0,0,0,1
54.0,30,131.42,0,0,0,0
101.0,31,191.05,1,0,1,1
103.0,23,164.86,0,0,0,0
102.0,31,109.42,1,1,0,1
41.0,34,146.69,1,1,0,0
94.0,27,131.08,0,0,0,1
97.0,26,335.32,1,1,0,0
7.0,35,314.93,0,0,0,1
39.0,22,164.55,0,1,0,0
50.0,23,465.7,1,1,0,1
16.0,35,105.93,0,1,0,0
10.0,29,352.73,0,0,0,1
98.0,42,177.33,0,0,0,0
8.0,26,207.88,0,0,0,1
47.0,33,262.44,1,1,0,0
54.0,38,372.07,1,1,0,1
51.0,33,278.14,0,1,0,0
95.0,28,174.63,0,1,0,1
104.0,22,166.41,1,1,1,0
7.0,26,362.66,0,1,0,1
9.0,32,678.74,1,1,0,0
76.0,39,214.79,0,0,0,1
46.0,30,383.69,1,0,0,0
14.0,35,211.91,1,1,0,1
11.0,30,239.77,1,1,0,0
12.0,35,254.69,1,1,0,1
53.0,30,128.43,1,0,0,0
5.0,30,307.27,1,0,0,1
54.0,27,198.66,1,1,0,0
44.0,33,210.01,0,0,0,1
21.0,30,547.84,0,0,0,0
8.0,27,159.05,1,0,0,1
12.0,25,198.0,0,0,0,0
89.0,32,169.72,0,0,0,1
8.0,30,310.26,0,1,0,0
44.0,28,316.99,0,0,0,1
94.0,35,178.91,1,0,0,0
86.0,24,325.41,0,0,0,1
9.0,30,306.26,0,1,0,0
11.0,31,127.46,0,0,0,1
48.0,23,168.97,0,1,0,0
58.0,36,381.63,0,0,0,1
7.0,30,366.5,1,1,0,0
9.0,28,302.05,0,0,0,1
47.0,36,265.34,1,0,0,0
12.0,29,345.81,0,0,0,1
81.0,30,187.45,1,0,0,0
66.0,29,478.18,0,1,0,1
111.0,38,138.85,0,0,0,0
8.0,37,112.73,1,1,0,1
50.0,32,107.7,1,0,0,0
85.0,35,119.32,0,1,0,1
57.0,34,100.92,0,0,0,0
91.0,29,270.18,1,0,0,1
7.0,29,540.12,0,1,0,0
91.0,36,162.79,1,1,0,1
83.0,34,251.66,1,1,0,0
38.0,31,171.64,1,0,0,1
55.0,33,423.31,0,0,0,0
98.0,32,222.55,1,1,0,1
81.0,27,406.47,1,0,1,0
46.0,28,233.9,0,1,0,1
48.0,29,226.97,0,1,0,0
83.0,29,452.94,0,0,0,1
40.0,26,198.14,1,0,0,0
91.0,29,367.36,0,1,0,1
42.0,30,111.39,0,0,0,0
84.0,28,195.47,0,1,1,1
12.0,33,365.7,1,0,0,0
105.0,26,159.92,1,1,0,1
45.0,31,334.61,0,0,0,0
45.0,33,202.32,0,0,0,1
5.0,22,261.99,1,0,0,0
14.0,33,179.7,1,0,0,1
48.0,29,296.94,0,1,0,0
70.0,34,228.57,1,1,0,1
9.0,22,153.02,1,1,0,0
10.0,25,276.62,0,0,0,1
9.0,35,418.39,1,0,0,0
7.0,27,160.18,1,1,0,1
72.0,22,291.38,1,1,1,0
10.0,26,371.06,1,0,0,1
55.0,28,243.27,0,0,0,0
14.0,30,325.58,0,1,0,1
96.0,28,131.75,1,1,0,0
11.0,28,366.34,1,1,0,1
12.0,28,114.45,1,1,0,0
72.0,32,195.7,0,0,0,1
52.0,32,247.64,0,1,0,0
51.0,40,300.89,1,0,0,1
94.0,43,316.45,0,0,0,0
10.0,25,115.35,1,0,0,1
95.0,31,247.79,0,0,0,0
82.0,28,253.97,0,0,0,1
44.0,30,553.75,0,1,0,0
56.0,28,184.96,0,0,0,1
11.0,29,266.39,0,0,0,0
78.0,33,229.77,1,0,0,1
44.0,35,158.15,1,0,0,0
94.0,25,206.04,1,1,0,1
51.0,31,360.72,1,0,0,0
60.0,30,226.0,0,1,0,1
10.0,30,267.3,0,0,0,0
56.0,33,104.93,0,1,0,1
110.0,32,516.9,0,0,1,0
42.0,32,526.62,1,0,0,1
6.0,40,263.11,1,0,0,0
15.0,43,117.92,1,0,0,1
10.0,26,100.81,1,1,0,0
11.0,35,302.6,0,1,0,1
12.0,30,288.87,0,1,0,0
84.0,26,179.3,0,0,0,1
71.0,29,194.49,0,1,0,0
92.0,28,188.37,0,1,0,1
12.0,33,433.81,1,1,0,0
59.0,34,293.86,1,0,0,1
84.0,32,398.55,0,1,0,0
86.0,29,332.03,1,0,1,1
11.0,27,297.96,1,1,0,0
61.0,27,444.53,0,0,0,1
10.0,30,248.85,1,0,0,0
5.0,22,155.65,1,0,0,1
83.0,24,240.99,1,1,0,0
7.0,30,226.06,0,1,0,1
86.0,28,452.13,1,0,0,0
13.0,28,119.84,0,1,0,1
8.0,28,206.19,0,1,0,0
9.0,36,434.03,0,1,0,1
56.0,30,427.31,0,1,0,0
82.0,28,263.18,1,0,1,1
80.0,35,336.49,0,1,0,0
71.0,28,177.36,1,0,0,1
8.0,33,291.25,0,0,0,0
48.0,29,124.63,0,1,0,1
4.0,33,408.56,1,0,0,0
11.0,23,244.81,0,0,0,1
10.0,33,370.18,0,1,0,0
54.0,25,716.87,0,0,0,1
43.0,26,270.33,0,1,0,0
51.0,28,234.9,0,1,0,1
66.0,27,583.87,1,0,0,0
88.0,23,325.0,0,1,0,1
79.0,26,194.64,0,1,1,0
74.0,36,178.45,0,1,0,1
50.0,29,201.07,1,1,0,0
91.0,34,331.28,1,1,0,1
102.0,20,148.97,0,0,0,0
8.0,25,334.69,0,1,0,1
35.0,33,349.88,0,1,0,0
57.0,32,483.81,1,1,0,1
102.0,33,341.78,1,0,0,0
81.0,28,341.43,0,0,0,1
90.0,41,250.34,1,0,0,0
10.0,39,129.23,1,0,0,1
91.0,26,133.0,0,0,0,0
9.0,23,307.55,1,0,0,1
50.0,29,150.1,0,0,0,0
80.0,20,297.09,1,0,0,1
9.0,23,108.91,0,0,0,0
86.0,32,494.89,0,0,0,1
11.0,24,201.45,0,0,0,0
73.0,26,258.37,1,0,0,1
90.0,28,158.86,0,0,0,0
51.0,26,283.15,0,1,0,1
119.0,23,111.77,1,1,0,0
16.0,36,358.33,1,0,0,1
9.0,26,244.55,0,1,0,0
99.0,29,319.51,0,1,0,1
10.0,29,303.99,0,0,0,0
12.0,30,151.35,1,1,0,1
13.0,34,159.46,0,1,0,0
8.0,20,264.08,1,0,0,1
89.0,26,444.15,0,0,0,0
97.0,39,148.37,0,1,1,1
96.0,26,178.46,1,0,0,0
51.0,31,108.93,0,0,0,1
19.0,31,254.03,0,0,0,0
100.0,28,275.97,0,1,1,1
56.0,33,375.05,1,0,0,0
43.0,28,355.52,1,0,0,1
113.0,33,350.77,1,0,1,0
43.0,31,255.11,0,0,0,1
78.0,26,171.47,0,1,0,0
8.0,32,112.32,0,0,0,1
11.0,29,224.63,0,1,0,0
10.0,25,208.39,0,0,0,1
88.0,30,282.32,1,1,0,0
84.0,28,221.87,0,0,0,1
107.0,26,213.76,0,1,0,0
7.0,30,181.19,0,0,0,1
105.0,27,172.44,0,1,0,0
88.0,35,233.63,0,0,0,1
10.0,34,151.71,0,0,0,0
77.0,30,215.81,0,0,0,1
96.0,26,235.28,1,1,1,0
19.0,35,406.03,0,1,0,1
42.0,28,246.8,1,1,0,0
48.0,36,263.88,1,1,0,1
93.0,28,148.42,0,1,0,0
49.0,30,239.19,1,0,0,1
49.0,28,104.82,1,0,0,0
101.0,28,128.64,0,1,0,1
112.0,28,219.19,1,1,0,0
88.0,30,423.08,0,1,1,1
89.0,28,151.86,0,0,0,0
14.0,25,118.92,0,1,0,1
7.0,31,475.67,0,0,0,0
53.0,29,144.43,1,1,0,1
90.0,28,461.27,1,1,0,0
11.0,33,152.06,0,0,0,1
92.0,34,448.33,1,1,0,0
108.0,27,421.78,0,0,0,1
6.0,35,249.24,1,0,0,0
7.0,34,155.01,0,1,0,1
58.0,31,310.85,0,1,0,0
13.0,28,144.9,1,1,0,1
103.0,32,191.19,0,1,1,0
11.0,28,150.63,1,1,0,1
45.0,29,389.97,0,1,0,0
48.0,30,490.47,1,0,0,1
8.0,30,374.52,0,1,0,0
61.0,27,318.06,0,1,0,1
8.0,25,158.35,0,1,0,0
21.0,27,344.79,1,1,0,1
10.0,34,291.07,1,0,0,0
2.0,28,119.87,1,1,0,1
42.0,34,133.71,0,0,0,0
66.0,25,153.34,1,1,0,1
10.0,28,283.88,1,0,0,0
9.0,26,431.32,0,0,0,1
56.0,30,159.68,0,1,0,0
60.0,24,172.54,0,1,0,1
9.0,28,250.31,1,1,0,0
43.0,42,107.89,0,1,0,1
51.0,30,167.55,0,0,0,0
10.0,30,459.89,0,0,0,1
9.0,25,173.81,0,0,0,0
45.0,24,122.64,0,0,0,1
7.0,31,302.15,0,0,0,0
79.0,37,407.68,1,0,0,1
44.0,24,293.37,0,0,0,0
15.0,32,353.82,0,0,0,1
57.0,33,116.75,0,0,0,0
89.0,30,254.63,0,0,0,1
10.0,29,229.3,0,0,0,0
6.0,28,407.68,0,1,0,1
86.0,35,139.29,1,1,0,0
14.0,36,137.6,0,0,0,1
91.0,22,150.78,0,1,1,0
48.0,37,375.61,1,0,0,1
11.0,33,443.96,1,1,0,0
78.0,30,237.58,1,1,0,1
7.0,25,341.44,0,0,0,0
39.0,31,334.12,0,1,0,1
54.0,33,216.81,0,1,0,0
93.0,31,274.16,0,1,0,1
43.0,32,336.1,0,0,0,0
10.0,31,264.89,1,1,0,1
97.0,30,146.7,1,1,0,0
86.0,31,142.52,1,0,1,1
53.0,30,165.2,1,1,0,0
92.0,30,146.14,1,0,0,1
77.0,25,155.03,1,1,0,0
10.0,32,234.12,1,1,0,1
53.0,29,356.0,0,0,0,0
68.0,30,402.0,1,0,0,1
8.0,27,546.54,1,0,0,0
12.0,35,119.82,1,0,0,1
91.0,26,261.62,1,0,0,0
55.0,33,338.36,0,1,0,1
65.0,34,112.09,1,0,0,0
51.0,34,406.7,1,1,0,1
94.0,30,217.44,1,0,1,0
78.0,23,510.13,1,1,0,1
87.0,33,178.21,1,1,0,0
54.0,35,113.42,0,0,0,1
7.0,28,118.72,0,1,0,0
98.0,28,540.61,0,1,1,1
9.0,32,157.82,1,1,0,0
107.0,24,182.37,1,1,0,1
96.0,28,154.22,0,0,0,0
71.0,35,320.64,0,0,0,1
12.0,32,219.86,1,0,0,0
91.0,27,244.78,0,1,0,1
16.0,35,189.94,1,0,0,0
81.0,27,142.55,1,1,0,1
47.0,26,156.52,1,0,0,0
75.0,26,259.87,0,0,0,1
40.0,33,152.78,1,0,0,0
4.0,32,292.97,1,1,0,1
17.0,25,217.23,1,0,0,0
87.0,29,138.32,1,0,0,1
6.0,29,225.15,0,0,0,0
59.0,28,226.25,1,1,0,1
8.0,31,385.81,0,0,0,0
60.0,32,267.47,1,0,0,1
13.0,27,228.4,0,1,0,0
50.0,29,119.15,0,0,0,1
96.0,28,233.94,0,0,0,0
52.0,28,260.07,0,1,0,1
51.0,27,232.84,0,1,0,0
8.0,27,108.6,1,0,0,1
14.0,28,112.26,1,0,0,0
64.0,32,121.77,0,0,0,1
11.0,39,245.24,1,0,0,0
52.0,31,152.8,0,1,0,1
88.0,35,298.25,1,1,0,0
96.0,25,147.48,1,0,0,1
46.0,22,549.16,0,0,0,0
14.0,30,117.8,1,0,0,1
11.0,34,115.95,0,1,0,0
41.0,29,110.2,0,0,0,1
51.0,36,338.53,0,0,0,0
44.0,38,545.03,0,1,0,1
100.0,29,191.27,0,0,0,0
12.0,27,159.32,1,1,0,1
52.0,26,169.34,0,1,0,0
13.0,33,142.4,0,0,0,1
9.0,28,246.11,0,1,0,0
96.0,38,547.59,0,0,0,1
13.0,27,182.38,0,0,0,0
100.0,31,535.45,0,0,1,1
47.0,29,112.98,0,1,0,0
